htid,series_id,year,rights,title
chi.78691817,WWA,1900,pd,Who's who in America.
iau.31858002526410,WWA,1900,pd,Who's who in America.
hvd.32044024431470,WWA,1900,pd,Who's who in America.
mdp.39015010397050,WWA,1900,pd,Who's who in America.
njp.32101064485285,WWA,1900,pd,Who's who in America.
njp.32101064485293,WWA,1900,pd,Who's who in America.
coo.31924112619402,WWA,1902,pd,Who's who in America.
hvd.32044036316149,WWA,1902,pd,Who's who in America.
mdp.39015039596534,WWA,1902,pd,Who's who in America.
nyp.33433082307764,WWA,1902,pd,Who's who in America.
mdp.39015010534280,WWA,1905,pd,Who's who in America.
coo.31924112619410,WWA,1905,pd,Who's who in America.
hvd.32044024431496,WWA,1905,pd,Who's who in America.
nyp.33433082307798,WWA,1905,pd,Who's who in America.
pst.000010657744,WWA,1907,pd,Who's who in America.
msu.31293021756212,WWA,1907,pd,Who's who in America.
hvd.32044098883580,WWA,1907,pd,Who's who in America.
mdp.39015039596542,WWA,1907,pd,Who's who in America.
hvd.32044098883572,WWA,1909,pd,Who's who in America.
mdp.39015039596559,WWA,1909,pd,Who's who in America.
nyp.33433082309752,WWA,1909,pd,Who's who in America.
coo.31924112619444,WWA,1911,pd,Who's who in America.
hvd.32044024431488,WWA,1911,pd,Who's who in America.
mdp.39015039596567,WWA,1911,pd,Who's who in America.
nyp.33433082307780,WWA,1911,pd,Who's who in America.
uc1.31175023099156,WWA,1913,pd,Who's who in America.
mdp.39015032856588,WWA,1913,pd,Who's who in America.
nyp.33433082307772,WWA,1913,pd,Who's who in America.
uc1.c008512777,WWA,1915,pd,Who's who in America.
mdp.39015039596575,WWA,1917,pd,Who's who in America.
mdp.39015039596583,WWA,1919,pd,Who's who in America.
mdp.39015039596591,WWA,1921,pd,Who's who in America.
msu.31293021756287,WWA,1923,pd,Who's who in America.
msu.31293021756279,WWA,1923,pd,Who's who in America.
uc1.31175024129093,WWA,1923,pd,Who's who in America.
uc1.31175024129101,WWA,1925,pd,Who's who in America.
uc1.31175024118294,WWA,1927,pd,Who's who in America.
uc1.31175025329403,WWA,1927,pd,Who's who in America.
mdp.39015071164357,WWA,1929,pd,Who's who in America.
msu.31293031751054,WWA,1930,pdus,"Leaders, as recorded in ""Who's who in America"" & in ""Rus"" & their group & intergroup relationships / by John F. Thaden."
uc1.31175024129119,WWA,1931,pdus,Who's who in America.
